method,t,asset_idx,asset,avg_concentration
actor_critic,18,1,MSFT,0.10576152696732433
actor_critic,18,2,DIS,0.04423190167513589
actor_critic,18,3,CMCSA,0.20583481974878207
actor_critic,18,4,AMZN,0.2314533978091033
actor_critic,18,5,HD,0.02595366539509856
actor_critic,18,6,KO,0.07847502006112457
actor_critic,18,7,JNJ,0.02969055377173471
actor_critic,18,8,JPM,0.02559100387250299
actor_critic,18,9,XOM,0.07208115377270713
actor_critic,19,0,AAPL,0.18125619513952435
actor_critic,19,1,MSFT,0.10560421418448934
actor_critic,19,2,DIS,0.044177854236650764
actor_critic,19,3,CMCSA,0.20549897421247834
actor_critic,19,4,AMZN,0.23228791336564633
actor_critic,19,5,HD,0.025933278693092466
actor_critic,19,6,KO,0.07820434648754047
actor_critic,19,7,JNJ,0.02963246181662962
actor_critic,19,8,JPM,0.025549192267833375
actor_critic,19,9,XOM,0.07185556959611496
actor_critic,20,0,AAPL,0.1817730955919124
actor_critic,20,1,MSFT,0.10537992711041604
actor_critic,20,2,DIS,0.044103464276084116
actor_critic,20,3,CMCSA,0.2052283247797931
actor_critic,20,4,AMZN,0.23294981305986837
actor_critic,20,5,HD,0.02589236988801329
actor_critic,20,6,KO,0.0779845753381273
actor_critic,20,7,JNJ,0.029553161972148124
actor_critic,20,8,JPM,0.025502085369063145
actor_critic,20,9,XOM,0.07163318261457424
actor_critic,21,0,AAPL,0.18215981593895206
actor_critic,21,1,MSFT,0.10518744062041796
actor_critic,21,2,DIS,0.044018529419148814
actor_critic,21,3,CMCSA,0.20503470350289568
actor_critic,21,4,AMZN,0.23350181080013743
actor_critic,21,5,HD,0.025876675902457295
actor_critic,21,6,KO,0.07779830182599348
actor_critic,21,7,JNJ,0.02950738209740311
actor_critic,21,8,JPM,0.025450330627175166
actor_critic,21,9,XOM,0.07146500926541903
actor_critic,22,0,AAPL,0.18256057085225244
actor_critic,22,1,MSFT,0.10498916653536478
actor_critic,22,2,DIS,0.04394446497975232
actor_critic,22,3,CMCSA,0.20479906339270232
actor_critic,22,4,AMZN,0.2340473898908242
actor_critic,22,5,HD,0.02586831845288603
actor_critic,22,6,KO,0.077595275132948
actor_critic,22,7,JNJ,0.02945746069812755
actor_critic,22,8,JPM,0.025433582923470924
actor_critic,22,9,XOM,0.07130470714167163
actor_critic,23,0,AAPL,0.1829927890459098
actor_critic,23,1,MSFT,0.10486242989240854
actor_critic,23,2,DIS,0.043902591078948484
actor_critic,23,3,CMCSA,0.20455409371682598
actor_critic,23,4,AMZN,0.23446752642553875
actor_critic,23,5,HD,0.02583118783484731
actor_critic,23,6,KO,0.07746443951115689
actor_critic,23,7,JNJ,0.029409965544706
actor_critic,23,8,JPM,0.025372176212197423
actor_critic,23,9,XOM,0.07114280073746086
actor_critic,24,0,AAPL,0.1834037395885716
actor_critic,24,1,MSFT,0.10461247684318913
actor_critic,24,2,DIS,0.043781509029321236
actor_critic,24,3,CMCSA,0.20414200223189452
actor_critic,24,4,AMZN,0.23555737723094816
actor_critic,24,5,HD,0.025792778073409198
actor_critic,24,6,KO,0.07718766414038966
actor_critic,24,7,JNJ,0.02932609644197642
actor_critic,24,8,JPM,0.025314644188525266
actor_critic,24,9,XOM,0.07088171223177483
actor_critic,25,0,AAPL,0.1836890920384569
actor_critic,25,1,MSFT,0.10443855723247131
actor_critic,25,2,DIS,0.043657518677400815
actor_critic,25,3,CMCSA,0.20385104804393941
actor_critic,25,4,AMZN,0.23645077598531988
actor_critic,25,5,HD,0.02577282786939416
actor_critic,25,6,KO,0.07694481121911385
actor_critic,25,7,JNJ,0.02924756886510265
actor_critic,25,8,JPM,0.02526095597361548
actor_critic,25,9,XOM,0.07068684409518569
actor_critic,26,0,AAPL,0.1840881546023671
actor_critic,26,1,MSFT,0.10427752582455325
actor_critic,26,2,DIS,0.04354428732953293
actor_critic,26,3,CMCSA,0.20367868527266395
actor_critic,26,4,AMZN,0.2370600553563103
actor_critic,26,5,HD,0.025743091964244742
actor_critic,26,6,KO,0.07675232375033898
actor_critic,26,7,JNJ,0.02916773289685068
actor_critic,26,8,JPM,0.02520212702382815
actor_critic,26,9,XOM,0.0704860159793099
actor_critic,27,0,AAPL,0.1846774274624558
actor_critic,27,1,MSFT,0.1041166738013913
actor_critic,27,2,DIS,0.04341309912507568
actor_critic,27,3,CMCSA,0.2031988289949055
actor_critic,27,4,AMZN,0.23798334386568032
actor_critic,27,5,HD,0.02570051107856679
actor_critic,27,6,KO,0.07643895511253102
actor_critic,27,7,JNJ,0.02907918132346946
actor_critic,27,8,JPM,0.025137100971587095
actor_critic,27,9,XOM,0.07025487826433728
actor_critic,28,0,AAPL,0.18504521917277872
actor_critic,28,1,MSFT,0.10401330515521727
actor_critic,28,2,DIS,0.043372622621749235
actor_critic,28,3,CMCSA,0.20296279496006872
actor_critic,28,4,AMZN,0.23837921948683746
actor_critic,28,5,HD,0.025700825699459636
actor_critic,28,6,KO,0.0762737853781172
actor_critic,28,7,JNJ,0.02903352573494521
actor_critic,28,8,JPM,0.025102243691175568
actor_critic,28,9,XOM,0.07011645809965097
actor_critic,29,0,AAPL,0.18541112923772665
actor_critic,29,1,MSFT,0.1038476407699074
actor_critic,29,2,DIS,0.043263713620362826
actor_critic,29,3,CMCSA,0.2029344620267837
actor_critic,29,4,AMZN,0.2389150752936607
actor_critic,29,5,HD,0.025678295144662803
actor_critic,29,6,KO,0.07601205246756436
actor_critic,29,7,JNJ,0.028962232269035253
actor_critic,29,8,JPM,0.025043139564919013
actor_critic,29,9,XOM,0.0699322596053773
actor_critic,30,0,AAPL,0.1857427974180893
actor_critic,30,1,MSFT,0.10367627964768467
actor_critic,30,2,DIS,0.04313319318402835
actor_critic,30,3,CMCSA,0.20277187876077815
actor_critic,30,4,AMZN,0.23974597425253955
actor_critic,30,5,HD,0.025618146949895042
actor_critic,30,6,KO,0.07575763114672127
actor_critic,30,7,JNJ,0.02888592251993013
actor_critic,30,8,JPM,0.024975764101738223
actor_critic,30,9,XOM,0.06969241201859531
actor_critic,31,0,AAPL,0.18621725021203503
actor_critic,31,1,MSFT,0.1034337957004205
actor_critic,31,2,DIS,0.04304078422467866
actor_critic,31,3,CMCSA,0.20255129532686938
actor_critic,31,4,AMZN,0.2404073966394321
actor_critic,31,5,HD,0.025598480298372143
actor_critic,31,6,KO,0.07551927054193731
actor_critic,31,7,JNJ,0.028816573050228778
actor_critic,31,8,JPM,0.024918871130719642
actor_critic,31,9,XOM,0.0694962828753062
actor_critic,32,0,AAPL,0.18656931644688068
actor_critic,32,1,MSFT,0.10323822804492988
actor_critic,32,2,DIS,0.04294160236396559
actor_critic,32,3,CMCSA,0.2021760674154409
actor_critic,32,4,AMZN,0.24139032008226063
actor_critic,32,5,HD,0.02558485185913308
actor_critic,32,6,KO,0.07523337091757613
actor_critic,32,7,JNJ,0.028741357407024378
actor_critic,32,8,JPM,0.024878627805399067
actor_critic,32,9,XOM,0.06924625765738966
actor_critic,33,0,AAPL,0.18702109538935877
actor_critic,33,1,MSFT,0.10309262013533196
actor_critic,33,2,DIS,0.04285492837645318
actor_critic,33,3,CMCSA,0.20208312233246156
actor_critic,33,4,AMZN,0.241855346220745
actor_critic,33,5,HD,0.025566201206718354
actor_critic,33,6,KO,0.07501804978677805
actor_critic,33,7,JNJ,0.028670798632782334
actor_critic,33,8,JPM,0.024816513526365047
actor_critic,33,9,XOM,0.06902132439300573
actor_critic,34,0,AAPL,0.18742027810747786
actor_critic,34,1,MSFT,0.102920802207035
actor_critic,34,2,DIS,0.04272525855581021
actor_critic,34,3,CMCSA,0.20190758141485043
actor_critic,34,4,AMZN,0.242604220972332
actor_critic,34,5,HD,0.025532590415967987
actor_critic,34,6,KO,0.07475820265901617
actor_critic,34,7,JNJ,0.028601391203399402
actor_critic,34,8,JPM,0.024761399023741772
actor_critic,34,9,XOM,0.06876827544036916
actor_critic,35,0,AAPL,0.187821847067604
actor_critic,35,1,MSFT,0.10277401243113386
actor_critic,35,2,DIS,0.04262634532498252
actor_critic,35,3,CMCSA,0.20162684785064008
actor_critic,35,4,AMZN,0.24327352179610393
actor_critic,35,5,HD,0.025484729262417072
actor_critic,35,6,KO,0.0745445123533691
actor_critic,35,7,JNJ,0.028546420292633143
actor_critic,35,8,JPM,0.02469493955722808
actor_critic,35,9,XOM,0.06860682406388822
actor_critic,36,0,AAPL,0.18814110192756692
actor_critic,36,1,MSFT,0.10263330321815942
actor_critic,36,2,DIS,0.042537283929508445
actor_critic,36,3,CMCSA,0.2013009102629773
actor_critic,36,4,AMZN,0.24416834024197176
actor_critic,36,5,HD,0.025452157069873107
actor_critic,36,6,KO,0.07429008979864513
actor_critic,36,7,JNJ,0.028460770756391286
actor_critic,36,8,JPM,0.02464232120259731
actor_critic,36,9,XOM,0.06837372159230909
