index,method,t,avg_exposure_hhi,std_exposure_hhi
155,pg_loo,2,0.14056455774410553,0.0038392853654822
156,pg_loo,3,0.1408684598702366,0.0044921724238168054
157,pg_loo,4,0.14117660831253268,0.005248546728952312
158,pg_loo,5,0.14153830001627668,0.005936424946049459
159,pg_loo,6,0.14185696831069033,0.006462333858851275
160,pg_loo,7,0.14229038399258367,0.007114005389943125
161,pg_loo,8,0.1426539030151537,0.0074893953447918655
162,pg_loo,9,0.1430148253200062,0.008060272051249767
163,pg_loo,10,0.14332975296986866,0.00849635333051572
164,pg_loo,11,0.14372040038166828,0.009103584750318356
165,pg_loo,12,0.14406565725630735,0.009546638242336284
166,pg_loo,13,0.14446478837543777,0.010114074978187004
167,pg_loo,14,0.14490281698832563,0.010713784009965494
168,pg_loo,15,0.1452168374322851,0.011110788065724998
169,pg_loo,16,0.1455959819338501,0.011712912141389437
170,pg_loo,17,0.1461097675684218,0.012538530737249948
171,pg_loo,18,0.14655044556530417,0.012985543993588972
172,pg_loo,19,0.14701776069593736,0.013699178484884085
173,pg_loo,20,0.1474971986227383,0.014348158574977407
174,pg_loo,21,0.14802130400627342,0.014971057702488138
175,pg_loo,22,0.14844369346984837,0.015682694363303377
176,pg_loo,23,0.1489620418612106,0.016337451270457205
177,pg_loo,24,0.14943755197917327,0.016998462128250572
178,pg_loo,25,0.14991754127593676,0.017711086367175374
179,pg_loo,26,0.1502950860256236,0.01809818344392969
180,pg_loo,27,0.15067760515856082,0.018352336787152528
181,pg_loo,28,0.1511853072795313,0.018785637185087075
182,pg_loo,29,0.1515310505862964,0.01938314707145508
183,pg_loo,30,0.15199197238325973,0.019861069644124443
184,pg_loo,31,0.15247429866193743,0.020278664923540784
185,pg_loo,32,0.15297783384168873,0.021022130257082144
186,pg_loo,33,0.15348904386509316,0.0218593461818231
187,pg_loo,34,0.15401247239767638,0.022659210588279705
188,pg_loo,35,0.15449658775921637,0.023318263641394235
189,pg_loo,36,0.15494274977182296,0.02375588694940643
190,pg_loo,37,0.1554084514715584,0.02428192425113297
191,pg_loo,38,0.15584933775380944,0.0249422410747965
192,pg_loo,39,0.15634812759938338,0.02557704653293124
193,pg_loo,40,0.15677065747196922,0.026103230320836925
194,pg_loo,41,0.15726832229480323,0.02673972341878839
195,pg_loo,42,0.1577664977067442,0.02716744788557276
196,pg_loo,43,0.15818257887433973,0.02761752114388785
197,pg_loo,44,0.15868936991005334,0.02826019296529454
198,pg_loo,45,0.15913522265149502,0.02870408156709386
199,pg_loo,46,0.15962282409978382,0.029133868263798365
200,pg_loo,47,0.16007733165296464,0.029648617399970913
201,pg_loo,48,0.16053929854853657,0.030064529317530238
202,pg_loo,49,0.16068530044062176,0.0299573732374427
203,pg_loo,50,0.16098977726293398,0.030121994762567626
204,vanilla_pg,0,0.0,0.0
205,vanilla_pg,1,0.12787898551022414,0.0011525148889691508
206,vanilla_pg,2,0.12817744543087037,0.0016716055962758157
207,vanilla_pg,3,0.12845911272071203,0.002079120094141613
208,vanilla_pg,4,0.12873788537590697,0.0025001279790108663
209,vanilla_pg,5,0.1290341101463444,0.002843139664719592
210,vanilla_pg,6,0.1293147764400122,0.003209969347342045
211,vanilla_pg,7,0.1296096891765136,0.0035027316345547254
212,vanilla_pg,8,0.12992480189014632,0.003833658711204651
213,vanilla_pg,9,0.1302137101421456,0.004131567782856197
214,vanilla_pg,10,0.13052240732925863,0.004431601431251571
215,vanilla_pg,11,0.13085999248866426,0.004805504758181578
216,vanilla_pg,12,0.13117457897094267,0.005161966575876907
217,vanilla_pg,13,0.13146609560811273,0.005476395692832285
